"Version","Section","Rule","True","False","Total"
"4","WSImplementenationPoints","self.header = ‘Implementation Points’ or ‘Internal Represenation","0","7","7"
"4","WSImplementenationPoints","self.description = CodeOrText","7","0","7"
"6","WSCollabartor","self.description.style = firstPersonPronouns","11","6","17"
"6","WSCollabartor","self.interactions.lines","15","2","17"
"6","WSCollabartor","self.description.useSimilarWordsTo =  ‘I interact","5","12","17"
"5","WSInstanceVariable","self.header = ‘instance Variable","4","2","6"
"5","WSInstanceVariable","self.listOfInstanceVariables -> notEmpty","5","1","6"
"5","WSInstanceVariable","self.name and self.type -> notEmpty","4","2","6"
"5","WSExample","self.description = CodeOrText","9","0","9"
"5","WSKeyMessages","self.header = ‘Public API’ or ‘Key Messages","3","2","5"
"5","WSKeyMessages","self.listOfKeyMessages -> notEmpty","5","0","5"
"4","WSExample","self.description = CodeOrText","3","0","3"
"6","WSKeyMessages","self.header = ‘Public API’ or ‘Key Messages","0","3","3"
"6","WSKeyMessages","self.listOfKeyMessages -> notEmpty","1","2","3"
"6","WSImplementenationPoints","self.header = ‘Implementation Points’ or ‘Internal Represenation","0","8","8"
"6","WSImplementenationPoints","self.description = CodeOrText","8","0","8"
"3","WSInstanceVariable","self.header = ‘Instance Variables","2","0","2"
"3","WSInstanceVariable","self.name and self.type -> notEmpty","2","0","2"
"3","WSInstanceVariable","self.listOfVariables -> notEmpty","2","0","2"
"2","WSInstanceVariable","self.header = ‘instance Variable","0","1","1"
"2","WSInstanceVariable","self.listOfInstanceVariables -> notEmpty","1","0","1"
"2","WSInstanceVariable","self.name and self.type -> notEmpty","0","1","1"
